Comment,Designator,Footprint,LCSC
"10uF","C1","Capacitor_SMD:C_0805_2012Metric","C91245"
"0.1uF","C2,C3","Capacitor_SMD:C_0805_2012Metric","C49678"
"22pF","C4,C5","Capacitor_SMD:C_0805_2012Metric","C1804"
"1uF","C6","Capacitor_SMD:C_0805_2012Metric","C24123"
"D_Small","D1,D2,D3,D4,D5,D6,D8,D9,D10,D11,D12,D14,D15,D16,D17,D18,D19,D20,D22,D23,D24,D25","custom_parts:D_SOT-23_ANK_norm","C68978"
"Polyfuse_Small","F1","Fuse:Fuse_1206_3216Metric","C69688"
"MX-NoLED","MX1,MX2,MX3,MX4,MX5,MX6,MX7,MX8,MX9,MX10,MX11,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX20,MX21,MX24,MX25,MX26,MX27,MX28,MX29,MX30,MX31,MX32,MX35,MX41,MX43,MX50,MX51,MX52,MX54","MX_Only:MXOnly-1U-NoLED",""
"MX-NoLED","MX12,MX33,MX34,MX36,MX40,MX42,MX49,MX53","MX_Only:MXOnly-1.25U-NoLED",""
"MX-NoLED","MX22,MX23","MX_Only:MXOnly-1.75U-NoLED",""
"MX-NoLED","MX37","MX_Only:MXOnly-3U-ReversedStabilizers-NoLED",""
"MX-NoLED","MX39","MX_Only:MXOnly-2U-ReversedStabilizers-NoLED",""
"MX-NoLED","MX44,MX47","MX_Only:MXOnly-2.75U-ReversedStabilizers-NoLED",""
"MX-NoLED","MX45,MX46","MX_Only:MXOnly-2.25U-ReversedStabilizers-NoLED",""
"MX-NoLED","MX48,MX55","MX_Only:MXOnly-1.5U-NoLED",""
"5.1k","R1,R2","Resistor_SMD:R_0805_2012Metric","C27834"
"22","R3,R4","Resistor_SMD:R_0805_2012Metric","C17561"
"10k","R5,R6","Resistor_SMD:R_0805_2012Metric","C17414"
"RESET","RESET1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"WS2812B","RGB1,RGB2,RGB3,RGB4,RGB5,RGB6,RGB7,RGB8","custom_parts:WS2812-2020","C965556"
"ATmega32U2-A","U1","Package_QFP:TQFP-32_7x7mm_P0.8mm","C618733"
"SRV05-4","U2","Package_TO_SOT_SMD:SOT-23-6","C85364"
"USB_C_Receptacle_USB2.0","USB1","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Crystal_GND24_Small","X1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"